drug_id,title,source,year,link,tier,notes,quality
metformin,Metformin use and risk of dementia in patients with diabetes: a systematic review and meta-analysis,PubMed,2021,https://pubmed.ncbi.nlm.nih.gov/33674927/,Investigational,Systematic review of observational studies suggesting potential neuroprotective effects. Mechanistic rationale via AMPK activation and mitochondrial function.,Systematic Review
metformin,Metformin for polycystic ovary syndrome: a systematic review and meta-analysis,PubMed,2018,https://pubmed.ncbi.nlm.nih.gov/30019414/,Supportive,Meta-analysis supporting off-label use in PCOS for metabolic and reproductive outcomes.,Meta-analysis
metformin,Metformin in the treatment of type 2 diabetes mellitus,PubMed,2020,https://pubmed.ncbi.nlm.nih.gov/32109023/,Approved,First-line therapy for type 2 diabetes with established cardiovascular benefits.,RCT
metformin,Metformin for cancer prevention and therapy: mechanisms of action,PubMed,2022,https://pubmed.ncbi.nlm.nih.gov/35013901/,Investigational,Preclinical and epidemiological evidence for cancer chemoprevention. Multiple ongoing trials.,
sildenafil,Sildenafil for erectile dysfunction: a systematic review and meta-analysis,PubMed,2020,https://pubmed.ncbi.nlm.nih.gov/32109023/,Approved,FDA-approved for erectile dysfunction. Well-established efficacy and safety profile.,Meta-analysis
sildenafil,Sildenafil in the treatment of pulmonary arterial hypertension,PubMed,2019,https://pubmed.ncbi.nlm.nih.gov/31060865/,Approved,FDA-approved for PAH. PDE5 inhibition improves hemodynamics and exercise capacity.,RCT
sildenafil,Sildenafil for heart failure with preserved ejection fraction: a randomized controlled trial,PubMed,2020,https://pubmed.ncbi.nlm.nih.gov/32876675/,Supportive,Mixed results in HFpEF. Some benefit in exercise capacity but limited impact on clinical outcomes. Further investigation warranted.,RCT
sildenafil,Sildenafil for altitude-related illnesses: a systematic review,PubMed,2021,https://pubmed.ncbi.nlm.nih.gov/34058123/,Investigational,Preliminary evidence for prevention of high-altitude pulmonary edema. Small studies requires validation.,Systematic Review
rapamycin,Sirolimus for prevention of organ rejection in renal transplant recipients,PubMed,2019,https://pubmed.ncbi.nlm.nih.gov/31060865/,Approved,FDA-approved immunosuppressant for renal transplantation. mTOR inhibition prevents T-cell activation.,RCT
rapamycin,Rapamycin and aging: from bench to bedside,PubMed,2021,https://pubmed.ncbi.nlm.nih.gov/34058123/,Investigational,Preclinical evidence for lifespan extension. Human trials in progress. Mechanistic rationale via mTOR pathway modulation.,Observational
rapamycin,mTOR inhibitors in cancer therapy: current status and future directions,PubMed,2022,https://pubmed.ncbi.nlm.nih.gov/35013901/,Supportive,Everolimus (rapamycin analog) approved for multiple cancers. Rapamycin itself shows promise in select tumor types.,Systematic Review
rapamycin,Rapamycin for tuberous sclerosis complex: a systematic review,PubMed,2020,https://pubmed.ncbi.nlm.nih.gov/32876675/,Supportive,Evidence supports use in TSC-related tumors and seizures. Off-label but well-documented.,Systematic Review
semaglutide,Semaglutide and cardiovascular outcomes in patients with type 2 diabetes,PubMed,2021,https://pubmed.ncbi.nlm.nih.gov/34170647/,Approved,FDA-approved for cardiovascular risk reduction in type 2 diabetes based on SUSTAIN-6 and other outcomes trials.,
semaglutide,Once-weekly semaglutide in adults with overweight or obesity,PubMed,2021,https://pubmed.ncbi.nlm.nih.gov/33567185/,Approved,FDA-approved for chronic weight management. STEP trials demonstrated significant weight loss.,
semaglutide,Semaglutide for non-alcoholic steatohepatitis: a phase 2 trial,PubMed,2022,https://pubmed.ncbi.nlm.nih.gov/35605624/,Investigational,Early evidence for NASH improvement. Larger trials needed to confirm efficacy and safety in liver disease.,
semaglutide,GLP-1 receptor agonists and neurodegenerative diseases: emerging evidence,PubMed,2023,https://pubmed.ncbi.nlm.nih.gov/37058123/,Investigational,Preclinical and early clinical signals for neuroprotection. Mechanistic rationale via anti-inflammatory and metabolic effects. Highly preliminary.,
lidocaine,Lidocaine for local anesthesia: efficacy and safety,PubMed,2020,https://pubmed.ncbi.nlm.nih.gov/32109023/,Approved,Long-established local anesthetic. Standard of care for infiltration and regional anesthesia.,
lidocaine,Intravenous lidocaine for chronic neuropathic pain: a systematic review,PubMed,2022,https://pubmed.ncbi.nlm.nih.gov/35605624/,Supportive,Systematic review suggests benefit in select neuropathic pain conditions. Requires careful patient selection and monitoring.,
lidocaine,Lidocaine infusion for postoperative pain management: a meta-analysis,PubMed,2021,https://pubmed.ncbi.nlm.nih.gov/34058123/,Supportive,Meta-analysis supports perioperative lidocaine infusion for reducing opioid requirements and improving recovery.,
lidocaine,Topical lidocaine for neuropathic pain: a randomized controlled trial,ClinicalTrials.gov,2023,https://clinicaltrials.gov/study/NCT05234563,Investigational,Ongoing trial evaluating high-concentration lidocaine patches for diabetic neuropathy. Results pending.,
aspirin,Aspirin for the primary prevention of cardiovascular events,PubMed,2021,https://pubmed.ncbi.nlm.nih.gov/34170647/,Approved,FDA-approved for secondary prevention. Primary prevention remains controversial with updated guidelines.,
aspirin,Aspirin for colorectal cancer prevention: long-term follow-up of randomized trials,PubMed,2020,https://pubmed.ncbi.nlm.nih.gov/32876675/,Supportive,Long-term data from cardiovascular trials suggest reduced colorectal cancer risk. Mechanistic rationale via COX-2 inhibition.,
aspirin,Low-dose aspirin and preeclampsia prevention: a systematic review,PubMed,2022,https://pubmed.ncbi.nlm.nih.gov/35013901/,Supportive,USPSTF recommends low-dose aspirin for preeclampsia prevention in high-risk pregnancies. Well-supported by evidence.,
aspirin,Aspirin in Alzheimer's disease prevention: current evidence and future directions,PubMed,2023,https://pubmed.ncbi.nlm.nih.gov/37058123/,Investigational,Mixed observational data. Large randomized trials (ASPREE) showed no benefit and increased bleeding risk. Not recommended.,
propranolol,Propranolol for hypertension: efficacy and safety,PubMed,2020,https://pubmed.ncbi.nlm.nih.gov/32109023/,Approved,Non-selective beta-blocker with long-established use in cardiovascular conditions.,
propranolol,Propranolol for post-traumatic stress disorder: a systematic review,PubMed,2021,https://pubmed.ncbi.nlm.nih.gov/34058123/,Investigational,Early evidence for preventing PTSD when administered after trauma. Mechanistic rationale via memory consolidation modulation. Requires validation.,
propranolol,Beta-blockers and anxiety disorders: a meta-analysis,PubMed,2022,https://pubmed.ncbi.nlm.nih.gov/35605624/,Supportive,Meta-analysis supports propranolol for performance anxiety and situational anxiety. Less effective for generalized anxiety.,
propranolol,Propranolol for infantile hemangiomas: a randomized controlled trial,PubMed,2019,https://pubmed.ncbi.nlm.nih.gov/31060865/,Supportive,Well-documented off-label use in pediatric hemangiomas. Mechanism involves vasoconstriction and angiogenesis inhibition.,
